Handmade catalog of Pulsars outside SNRs from the ATNF
#, NAME, P0 (s), P1
222, J0656-5449, jbo+09, 0.183156898795, 2, jbo+09, 0.03191E-15, 9, jbo+09 
223, J0658+0022, bkl+13, 0.563294925255, 3, bkl+13, 9.15201E-15, 13, bkl+13 
224, J0658+2936, dcm+23, 0.8237009813, 5, dcm+23, 1.44E-15, 5, dcm+23 
225, B0655+64, dth78, 0.19567094516627, 16, hlk+04, 6.853E-19, 12, hlk+04 

226, J0709+0458, mgf+19, 0.0344289781774586, 12, mgf+19, 3.8040E-19, 4, mgf+19 
227, J0709-5923, jbo+09, 0.485268383925, 5, jbo+09, 0.1260E-15, 2, jbo+09 
228, J0711+0931, lzb+00, 1.21409049248, 1, lzb+00, 4E-16, 1, lzb+00 
229, J0711-6830, bjb+97, 0.005490968507655535, 19, rsc+21, 1.490731E-20, 19, rsc+21 
230, J0719-2545, bjd+06, 0.974724730631, 9, bjd+06, 7.2819E-15, 7, bjd+06 

231, J0720-3125, hmb+97, 8.391115532, 26, kv05, 6.983E-14, 22, kv05 
232, J0721-2038, bkl+13, 0.01554239497400, 8, bkl+13, 4.4E-20, 4, bkl+13 
233, J0725-1635, mld+96, 0.4243114031834, 11, hlk+04, 9.2640E-17, 11, hlk+04 
234, J0726-2612, bjd+06, 3.4423084877, 4, bjd+06, 293.11E-15, 4, bjd+06 
235, J0729-1448, mhl+02, 0.25170865575972, 20, saa+23, 1.133559169E-13, 20, saa+23 

236, B0727-18, mlt+78, 0.51016034483, 3, hlk+04, 1.895713E-14, 19, hlk+04 
237, J0732+2314, mgf+19, 0.004090, 0, mgf+19, 6.0E-21, 4, mgf+19 
238, J0733-2345, lfl+06, 1.79624970117, 10, lfl+06, 5.704E-15, 10, lfl+06 
239, J0734-1559, sbd+11, 0.156250, 0, sbd+11, 1.22e-14, 0, sbd+11 
240, J0736-6304, bb10, 4.8628739612, 7, jcs+17, 151.89E-15, 25, jcs+17 

241, J0737-2202, mhl+02, 0.320366370454, 5, mhl+02, 5.46883E-15, 11, mhl+02 
242, J0737-3039A, bdp+03, 0.0226993785996239, 11, ksm+06, 1.75993E-18, 6, ksm+06 
243, J0737-3039B, lbk+04, 2.77346077007, 8, ksm+06, 8.92E-16, 8, ksm+06 
244, B0736-40, lvw68, 0.3749207359442, 15, jbv+19, 1.37504E-15, 6, jbv+19 
245, J0738+6904, slr+14, 6.8276928022, 5, lsk+18, 2.697E-14, 4, lsk+18 

246, J0740+6620, slr+14, 0.002885736411412693, 5, cfr+20, 1.219051E-20, 17, cfr+20 
247, B0740-28, fss73, 0.166762291572, 20, hlk+04, 1.682112E-14, 14, hlk+04 
248, J0742+4110, spp+23, 0.0031391369352910, 3, spp+23, 6.692E-21, 4, spp+23 
249, J0742+4334, scb+19, 0.606190680037, 6, mbc+20, 3.71E-16, 2, mbc+20 
250, J0744-2525, nie+20, 0.091996, 0, nie+20, 9.56e-16, 0, nie+20 

251, B0743-53, mlt+78, 0.214838505782, 5, psj+19, 2.18686E-15, 7, psj+19 
252, J0746-4529, bjd+06, 2.79102517845, 5, bjd+06, 16.660E-15, 5, bjd+06 
253, J0747+6646, slr+14, 0.407700524409, 5, lsk+18, 6.78E-16, 4, lsk+18 
254, J0749-4247, mld+96, 1.095452157610, 14, dsb+98, 9.770E-16, 4, dsb+98 
255, J0750-6846, kbj+18, 0.91521580361, 7, sfj+20, 1.096E-16, 7, sfj+20 

256, J0751+1807, lzc95, 0.00347877083927942, 4, dcl+16, 0.77874E-20, 5, dcl+16 
257, B0751+32, dth78, 1.442349479143, 3, hlk+04, 1.079865E-15, 17, hlk+04 
258, B0756-15, mlt+78, 0.6822651758060, 14, hlk+04, 1.618890E-15, 14, hlk+04 
259, J0802-5613, nie+20, 0.273973, 0, nie+20, 2.76e-15, 0, nie+20 
260, J0803-0942, aac+18, 0.571256559155, 14, clh+20, 1.1611E-15, 17, clh+20 

261, J0804-3647, bkl+13, 2.19198689593, 15, bkl+13, 4.21E-15, 3, bkl+13 
262, J0806-4123, hmz+04, 11.37038593, 12, kk09, 5.6E-14, 30, kk09 
263, J0807-5421, bbb+12, 0.52664353143, 3, bbb+12, 0.378E-15, 1, bbb+12 
264, J0808-3937, bkl+13, 0.86634928471, 3, bkl+13, 0.401E-15, 3, bkl+13 
265, B0808-47, mlt+78, 0.547202118684, 3, jbv+19, 3.0763E-15, 3, jbv+19 

266, J0812-3905, bkl+13, 0.482595929159, 4, bkl+13, 0.0449E-15, 12, bkl+13 
267, B0809+74, cp68, 1.292241446862, 3, hlk+04, 1.68114E-16, 14, hlk+04 
268, J0815+0939, clm+05, 0.64516119106, 5, clm+05, 0.139E-15, 6, clm+05 
269, J0815+4611, scb+19, 0.4342422517307, 2, mbc+20, 3.9E-18, 1, mbc+20 
270, J0818-3049, bkl+13, 0.7637418483, 5, bkl+13, 0.58E-15, 24, bkl+13 

271, J0818-3232, bjd+06, 2.161258926939, 15, bjd+06, 0.7534E-15, 5, bjd+06 
272, B0818-13, vl70, 1.2381295438682, 8, hlk+04, 2.105178E-15, 7, hlk+04 
273, J0820-3826, bkl+13, 0.1248366735581, 5, psj+19, 2.44257E-15, 8, psj+19 
274, J0820-3921, bjd+06, 1.07356658405, 4, bjd+06, 12.169E-15, 4, bjd+06 
275, B0818-41, mlt+78, 0.5454455601, 3, lbs+20, 1.975E-17, 6, lbs+20 

276, J0821-4221, bjd+06, 0.3967282353771, 19, bjd+06, 3.47811E-15, 7, bjd+06 
277, B0820+02, mlt+78, 0.8648728046988, 9, hlk+04, 1.04550E-16, 6, hlk+04 
