---------------------------------------------------------------------------------------------------------------------------------------------
#, NAME, P0, P1, DIST, AGE, EDOT, EDOTD2
, (s), , (kpc), (Yr), (ergs/s), (ergs/kpc^2/s)
---------------------------------------------------------------------------------------------------------------------------------------------
130, B0450-18, vlw69, 0.548939223294, 3, hlk+04, 5.753107E-15, 16, hlk+04, 0.400, 1.51e+06, 1.4e+33, 8.6e+33

131, J0453+1559, dsm+13, 0.045781816872951, 4, msf+15, 1.8612E-19, 8, msf+15, 0.522, 3.9e+09, 7.7e+31, 2.8e+32
132, J0454+4529, mhl+18, 1.3891369360, 4, tbc+20, 4.888E-15, 2, tbc+20, 0.765, 4.5e+06, 7.2e+31, 1.2e+32
133, B0450+55, dth78, 0.340729436235, 10, hlk+04, 2.37227E-15, 7, hlk+04, 1.180, 2.28e+06, 2.4e+33, 1.7e+33
134, B0456-69, mmh+91, 0.320422711526, 12, ckm+01, 1.02119E-14, 15, ckm+01, 49.700, 4.97e+05, 1.2e+34, 5.0e+30
135, J0456-7031, mfl+06, 0.80013207321, 10, mfl+06, 3.670E-14, 3, mfl+06, 49.700, 3.45e+05, 2.8e+33, 1.1e+30

136, J0457-6337, mfl+06, 2.49701169613, 19, mfl+06, 2.1E-16, 3, mfl+06, 1.333, 1.88e+08, 5.3e+29, 3.0e+29
137, J0458-0505, lbr+13, 1.88347965849, 18, lbr+13, 5.3E-16, 15, lbr+13, 1.938, 5.63e+07, 3.1e+30, 8.3e+29
138, J0459-0210, mld+96, 1.133076123659, 6, hlk+04, 1.39825E-15, 6, hlk+04, 0.160, 1.28e+07, 3.8e+31, 1.5e+33
139, J0501+4516, gwk08, 5.76209653, 4, gwk+10, 5.82E-12, 3, gwk+10, 2.000, 1.57e+04, 1.2e+33, 3.0e+32
140, B0458+46, dth78, 0.638565481517, 3, hlk+04, 5.582339E-15, 17, hlk+04, 1.319, 1.81e+06, 8.5e+32, 4.9e+32

141, B0502-66, mmh+91, 0.69125141818, 4, ckm+01, 2.3090E-14, 6, ckm+01, 49.700, 4.74e+05, 2.8e+33, 1.1e+30
142, J0509+0856, mgf+19, 0.0040558382315644, 5, mgf+19, 4.412E-21, 12, mgf+19, 0.817, 1.46e+10, 2.6e+33, 3.9e+33
143, J0509+3801, slr+14, 0.07654134872199, 12, lsk+18, 7.931E-18, 3, lsk+18, 1.562, 1.53e+08, 7.0e+32, 2.9e+32
144, J0511-6508, mfl+06, 0.322061827468, 8, mfl+06, 2.06E-16, 4, mfl+06, 0.818, 2.48e+07, 2.4e+32, 3.6e+32
145, J0514-4002A, fgri04, 0.004990575114112, 3, rfgr19, 7.0E-22, 13, rfgr19, 11.950, 1.13e+11, 2.2e+32, 1.6e+30

146, J0514-4408, bcm+16, 0.3202708224090, 7, brs+19, 2.042031E-15, 11, brs+19, 0.966, 2.48e+06, 2.5e+33, 2.6e+33
147, J0517+2212, cha03, 0.2223665151982, 7, bfrs18, 1.16047E-17, 15, bfrs18, 0.159, 3.04e+08, 4.2e+31, 1.6e+33
148, J0518+2431, crafts23, 2.636939736628, 7, wyw+23, 6.86E-16, 4, wyw+23, 1.598, 6.09e+07, 1.5e+30, 5.8e+29
149, J0518+5125, scb+19, 0.912511685262, 8, mbc+20, 1.910E-16, 10, mbc+20, 1.337, 7.57e+07, 9.9e+30, 5.6e+30
150, J0518+5416, slr+14, 0.340202651600, 6, lsk+18, 1.676E-15, 4, lsk+18, 1.434, 3.22e+06, 1.7e+33, 8.2e+32

